"site_id","lat","lon","state","common_name","species_id","func_type","id","phenophase_id","phenophase","year","first_yes","prior_no","elev"
53392,40.088081,-76.013893,"PA","pink azalea",992,"Deciduous broadleaf",332211,498,"Colored leaves",2025,258,7,306
8836,35.686604,-83.537605,"TN","pawpaw",1201,"Deciduous broadleaf",332270,498,"Colored leaves",2025,237,5,444
8836,35.686604,-83.537605,"TN","pawpaw",1201,"Deciduous broadleaf",332270,471,"Falling leaves",2025,265,5,444
31139,42.455235,-71.123512,"MA","highbush blueberry",94,"Deciduous broadleaf",332805,498,"Colored leaves",2025,227,7,65
31139,42.455235,-71.123512,"MA","highbush blueberry",94,"Deciduous broadleaf",332805,471,"Falling leaves",2025,248,7,65
16902,38.376015,-122.508133,"CA","blue oak",757,"Semi-evergreen broadleaf",332865,498,"Colored leaves",2025,220,28,115
16902,38.376015,-122.508133,"CA","blue oak",757,"Semi-evergreen broadleaf",332865,471,"Falling leaves",2025,220,28,115
8418,32.363758,-94.873947,"TX","red mulberry",2007,"Deciduous broadleaf",333057,498,"Colored leaves",2025,218,7,110
8418,32.363758,-94.873947,"TX","red mulberry",2007,"Deciduous broadleaf",333057,471,"Falling leaves",2025,239,7,110
53784,40.533043,-79.780418,"PA","black maple",1591,"Deciduous broadleaf",333088,498,"Colored leaves",2025,250,17,232
53784,40.533043,-79.780418,"PA","boxelder",2,"Deciduous broadleaf",333089,498,"Colored leaves",2025,233,6,232
53784,40.533043,-79.780418,"PA","boxelder",2,"Deciduous broadleaf",333089,471,"Falling leaves",2025,271,21,232
48750,42.374542,-71.146736,"MA","flowering dogwood",12,"Deciduous broadleaf",333120,498,"Colored leaves",2025,231,1,15
48750,42.374542,-71.146736,"MA","flowering dogwood",12,"Deciduous broadleaf",333120,471,"Falling leaves",2025,231,1,15
48750,42.374542,-71.146736,"MA","bur oak",101,"Deciduous broadleaf",333121,498,"Colored leaves",2025,244,6,15
48750,42.374542,-71.146736,"MA","bur oak",101,"Deciduous broadleaf",333121,471,"Falling leaves",2025,231,1,15
54753,44.253067,-68.347298,"ME","gray alder",62,"Deciduous broadleaf",333173,498,"Colored leaves",2025,247,8,2
54753,44.253067,-68.347298,"ME","possumhaw",1698,"Deciduous broadleaf",333174,471,"Falling leaves",2025,255,8,2
54753,44.253067,-68.347298,"ME","common winterberry ",897,"Deciduous broadleaf",333177,498,"Colored leaves",2025,255,8,2
54753,44.253067,-68.347298,"ME","common winterberry ",897,"Deciduous broadleaf",333177,471,"Falling leaves",2025,255,8,2
54755,44.254181,-68.346909,"ME","gray alder",62,"Deciduous broadleaf",333179,471,"Falling leaves",2025,247,8,3
54754,44.2537,-68.351913,"ME","highbush blueberry",94,"Deciduous broadleaf",333183,471,"Falling leaves",2025,247,8,5
54754,44.2537,-68.351913,"ME","glossy buckthorn",1871,"Deciduous broadleaf",333185,471,"Falling leaves",2025,255,8,5
54754,44.2537,-68.351913,"ME","possumhaw",1698,"Deciduous broadleaf",333186,471,"Falling leaves",2025,247,8,5
54754,44.2537,-68.351913,"ME","highbush blueberry",94,"Deciduous broadleaf",333187,498,"Colored leaves",2025,255,8,5
54754,44.2537,-68.351913,"ME","highbush blueberry",94,"Deciduous broadleaf",333187,471,"Falling leaves",2025,255,8,5
54754,44.2537,-68.351913,"ME","possumhaw",1698,"Deciduous broadleaf",333188,471,"Falling leaves",2025,255,8,5
54764,44.368965,-68.19577,"ME","highbush blueberry",94,"Deciduous broadleaf",333189,471,"Falling leaves",2025,255,8,35
54757,44.371616,-68.213722,"ME","gray alder",62,"Deciduous broadleaf",333198,498,"Colored leaves",2025,255,8,25
54757,44.371616,-68.213722,"ME","gray alder",62,"Deciduous broadleaf",333198,471,"Falling leaves",2025,255,8,25
54757,44.371616,-68.213722,"ME","gray alder",62,"Deciduous broadleaf",333200,498,"Colored leaves",2025,255,8,25
54757,44.371616,-68.213722,"ME","gray alder",62,"Deciduous broadleaf",333200,471,"Falling leaves",2025,255,8,25
