"STATEFP","COUNTYFP","state","county","doy_1981","doy_1982","doy_1983","doy_1984","doy_1985","doy_1986","doy_1987","doy_1988","doy_1989","doy_1990","doy_1991","doy_1992","doy_1993","doy_1994","doy_1995","doy_1996","doy_1997","doy_1998","doy_1999","doy_2000","doy_2001","doy_2002","doy_2003","doy_2004","doy_2005","doy_2006","doy_2007","doy_2008","doy_2009","doy_2010","doy_2011","doy_2012","doy_2013","doy_2014","doy_2015","doy_2016","doy_2017","doy_2018","doy_2019","doy_2020","doy_2021","doy_2022","doy_2023","doy_2024","doy_2025"
"01","069","AL","Houston",61.983715057373,52.7987480163574,62.5712356567383,61.340503692627,61.398567199707,52.3915367126465,60.009822845459,63.2964172363281,40.8310813903809,42.8127212524414,53.5426826477051,55.2037315368652,59.0094909667969,55.4539642333984,58.8768272399902,58.6684417724609,52.2482872009277,60.0255508422852,41.021614074707,53.9453582763672,56.3938331604004,54.6375045776367,61.1021461486816,63.4480590820312,52.3861427307129,54.3556480407715,60.9134407043457,58.7528610229492,61.0804328918457,79.8938751220703,59.6398735046387,47.2018699645996,39.2413139343262,64.002311706543,68.5313262939453,56.5502166748047,40.8719139099121,51.599983215332,50.8594932556152,43.7025947570801,56.1434745788574,57.563346862793,44.530200958252,54.7256736755371,33.7696380615234
"01","023","AL","Choctaw",71.7199554443359,62.4394721984863,70.835823059082,72.6245880126953,70.8332443237305,65.3554306030273,70.0900039672852,76.4107971191406,62.3176918029785,46.6989593505859,61.6844635009766,59.658763885498,72.495979309082,63.9320182800293,66.1321487426758,67.0808334350586,63.3311767578125,66.7933349609375,42.2616844177246,58.7200508117676,59.8270492553711,71.6663055419922,70.0766677856445,71.6037826538086,62.9982604980469,62.8780403137207,70.5565948486328,71.317985534668,66.3622131347656,86.8718948364258,64.1892471313477,53.1825828552246,58.3223991394043,77.7660675048828,75.8318557739258,63.6595230102539,44.0754814147949,55.5227165222168,54.6447906494141,52.0590476989746,68.6369934082031,65.6203765869141,52.3867721557617,59.0281448364258,35.1116180419922
"01","005","AL","Barbour",67.6652374267578,59.2433547973633,68.2431793212891,65.7863998413086,66.6665115356445,58.4743499755859,68.2585678100586,71.6365661621094,54.92578125,44.6949234008789,58.3527183532715,58.3348655700684,68.2080764770508,59.917121887207,63.5122299194336,66.2258529663086,59.9800872802734,66.6785659790039,48.3336334228516,59.660285949707,59.378604888916,66.1661834716797,67.6217422485352,68.4580154418945,62.1472358703613,59.8469200134277,69.8153991699219,67.8052291870117,68.8353118896484,85.6798324584961,62.8634605407715,52.1432189941406,44.2924842834473,71.050178527832,72.2075042724609,63.1840476989746,44.9534225463867,54.0923194885254,54.0884437561035,49.3493461608887,59.7991981506348,61.4767608642578,50.294506072998,57.7754058837891,35.9749717712402
"01","107","AL","Pickens",83.7421188354492,73.6562194824219,79.5036697387695,78.9424133300781,78.4304580688477,71.5047378540039,78.7942199707031,86.6895904541016,70.7260131835938,54.5695457458496,72.4973983764648,66.7903671264648,84.2841033935547,78.1725387573242,76.4327087402344,76.3432388305664,67.6245574951172,77.4553756713867,56.2237586975098,66.9700469970703,73.7098083496094,76.6599273681641,77.056770324707,76.9699249267578,76.1203918457031,69.7336196899414,76.1521530151367,76.7436904907227,73.80419921875,91.9506683349609,72.0007400512695,60.9786491394043,79.8244857788086,87.8712997436523,81.3147811889648,70.4898071289062,49.6617813110352,58.977611541748,67.0982894897461,65.3132705688477,73.2909545898438,74.2529983520508,56.8929710388184,63.687370300293,36.8450546264648
"01","033","AL","Colbert",92.4366226196289,78.8165283203125,91.7117080688477,90.5953979492188,86.2561264038086,78.6844100952148,83.0999298095703,92.8089752197266,80.9794387817383,68.7484664916992,82.4168167114258,74.6960372924805,93.8321762084961,88.8680419921875,81.7480545043945,96.5258178710938,74.5524978637695,85.5848083496094,74.806884765625,70.7180099487305,89.8723526000977,84.4758911132812,88.0307769775391,83.9868545532227,84.4228744506836,80.1209335327148,81.1316070556641,88.4065017700195,81.4157485961914,95.9334182739258,80.2626037597656,72.2599563598633,97.6777420043945,96.3301544189453,88.7727890014648,77.9686431884766,60.9058723449707,72.4564361572266,78.4047546386719,75.5917739868164,78.3618850708008,84.6098556518555,62.253978729248,70.3794174194336,NA
"04","012","AZ","La Paz",48.1391143798828,52.7521095275879,53.0913696289062,50.1731948852539,59.1834373474121,46.3106651306152,48.8269348144531,51.9426651000977,53.5860862731934,58.5534286499023,47.9081268310547,47.5633163452148,50.2596893310547,53.200382232666,47.207275390625,44.6685485839844,47.7892150878906,52.9177360534668,48.5322914123535,39.1961441040039,57.8864059448242,55.1492538452148,44.4794120788574,57.5208625793457,46.6316261291504,49.5469779968262,51.3678207397461,57.2429695129395,48.9829254150391,52.921947479248,52.9763488769531,50.2076454162598,57.6013374328613,44.4092597961426,43.7219696044922,48.6422805786133,49.695384979248,43.46240234375,60.8785820007324,53.3163070678711,47.4483757019043,51.8803825378418,61.2926597595215,51.1626129150391,29.3000659942627
"04","001","AZ","Apache",121.236679077148,128.474487304688,139.325759887695,131.670776367188,120.084289550781,112.457656860352,125.504638671875,127.260848999023,109.567192077637,120.074440002441,132.618392944336,119.85359954834,124.652488708496,121.334968566895,124.571617126465,117.199020385742,123.105735778809,134.253326416016,124.5380859375,116.6591796875,122.832748413086,117.073951721191,124.357315063477,116.320442199707,123.052864074707,119.048225402832,114.969573974609,127.666625976562,120.706115722656,129.676010131836,120.913650512695,117.934883117676,122.280097961426,118.843818664551,109.887763977051,118.523284912109,109.727882385254,113.09114074707,121.149154663086,119.48673248291,121.234085083008,119.243759155273,128.53205871582,124.60082244873,NA
"05","081","AR","Little River",76.7483825683594,74.47705078125,73.4291076660156,79.4465026855469,75.7838668823242,66.5411529541016,75.3936309814453,84.0625915527344,78.4449005126953,60.3447494506836,70.4831314086914,63.634349822998,83.4307098388672,74.4691925048828,76.1305160522461,70.4260482788086,73.2077331542969,75.4475631713867,58.7029876708984,61.2778396606445,74.7878189086914,80.495002746582,80.6417083740234,78.6914138793945,71.8314361572266,68.6612319946289,75.9362869262695,78.3223648071289,69.9221801757812,88.0186157226562,75.2834548950195,65.9296951293945,78.4693145751953,88.5315475463867,88.0686569213867,67.8015823364258,58.1494293212891,73.033821105957,77.6393966674805,70.5604095458984,76.1947326660156,81.0846328735352,61.6365127563477,64.2095565795898,36.3155746459961
"05","121","AR","Randolph",93.6585922241211,92.9048461914062,102.217102050781,103.591117858887,94.0112686157227,87.0399856567383,88.9666595458984,97.7381362915039,97.9725036621094,76.9869384765625,89.7954940795898,86.419189453125,103.90258026123,98.3911895751953,87.7865829467773,104.029808044434,87.1513824462891,94.4271926879883,93.8281555175781,83.612678527832,98.4427032470703,101.503959655762,99.8546295166016,92.9490509033203,93.047477722168,91.109748840332,85.1033935546875,101.479026794434,93.4247360229492,95.6646270751953,95.2384643554688,77.6287994384766,106.232429504395,107.043846130371,99.2330780029297,87.8992462158203,79.5003890991211,96.9056167602539,98.9331817626953,88.7100982666016,96.1848220825195,98.4779815673828,84.7025680541992,79.6437606811523,NA
"06","037","CA","Los Angeles",58.6383666992188,68.7112731933594,64.4954071044922,60.7158470153809,69.9137802124023,53.049488067627,69.7859497070312,63.476749420166,67.3047561645508,68.1932144165039,58.0746154785156,61.7614059448242,64.8313293457031,61.8486480712891,58.9368476867676,55.3055992126465,61.0311698913574,69.8022308349609,67.8815765380859,60.5978584289551,74.04443359375,63.3806037902832,52.9367294311523,61.9208297729492,61.0715484619141,65.7050247192383,59.9654426574707,66.118782043457,57.5515937805176,66.0306777954102,62.9990615844727,59.4479026794434,62.4960327148438,45.3920783996582,44.568790435791,52.1263771057129,61.6084861755371,52.4620132446289,70.7946548461914,57.2524490356445,60.3981475830078,57.0321655273438,79.4218215942383,65.6425094604492,28.7275447845459
