"STATEFP","COUNTYFP","state","county","doy_1981","doy_1982","doy_1983","doy_1984","doy_1985","doy_1986","doy_1987","doy_1988","doy_1989","doy_1990","doy_1991","doy_1992","doy_1993","doy_1994","doy_1995","doy_1996","doy_1997","doy_1998","doy_1999","doy_2000","doy_2001","doy_2002","doy_2003","doy_2004","doy_2005","doy_2006","doy_2007","doy_2008","doy_2009","doy_2010","doy_2011","doy_2012","doy_2013","doy_2014","doy_2015","doy_2016","doy_2017","doy_2018","doy_2019","doy_2020","doy_2021","doy_2022","doy_2023","doy_2024","doy_2025"
"01","069","AL","Houston",40.8942985534668,28.3140258789062,32.9734382629395,35.2968788146973,35.2246475219727,24.4401035308838,29.6812114715576,30.6974334716797,19.9290199279785,21.0748500823975,30.9153251647949,32.0155220031738,26.190601348877,33.8845901489258,30.809591293335,31.440673828125,25.0490283966064,31.4162979125977,23,21.471284866333,35.9561462402344,26.9301338195801,34.7387619018555,31.1525573730469,20.5477695465088,24.4123077392578,24.6789417266846,33.9853057861328,29.0001354217529,43.1084785461426,37.708812713623,24,15,36.8382148742676,32.6986465454102,29.2358531951904,19,36.4638710021973,31.0089511871338,16,25.0206813812256,33.2649269104004,21.8283500671387,28.6516723632812,33.7696380615234
"01","023","AL","Choctaw",48.6604614257812,30.2292556762695,43.5459403991699,43.5115051269531,53.3194732666016,35.6546592712402,36.4397392272949,40.1538581848145,28.9999980926514,22.9999980926514,33.3896446228027,33.8326950073242,31.7194862365723,36.0366477966309,32.037727355957,40.7192611694336,35.347526550293,34.7833213806152,24,31.0799007415771,39.4488334655762,29.2764339447021,40.7783012390137,43.7064819335938,31.5395755767822,25.3449325561523,35,37.8631935119629,36.7841110229492,56.4004554748535,39.806640625,24.3205871582031,22.6006813049316,49.0985679626465,39.8581466674805,32.459789276123,18.9945640563965,41.0026779174805,33.239429473877,18.4132099151611,26.9686546325684,38.142578125,21.6859073638916,32.028148651123,35.1116180419922
"01","005","AL","Barbour",46.666862487793,31.4271335601807,39.095630645752,38.1832275390625,44.3261833190918,30.7390308380127,35.0069160461426,36.0568885803223,27.5540065765381,22.1621074676514,33.0596656799316,33.3635635375977,30.2575073242188,36.9522552490234,32.3998031616211,40.5198287963867,32.7534599304199,34.8405380249023,24.9165916442871,35.1620750427246,39.504753112793,28.5211944580078,40.3206672668457,36.8409385681152,31.1505107879639,25,34.2408485412598,37.1408348083496,34.1326522827148,50.7216758728027,39.3598098754883,24.9031944274902,15.3929090499878,40.1169776916504,34.6008377075195,32.2999076843262,20.0710678100586,39.2093048095703,34.1004219055176,16.7933025360107,26.4708843231201,34.5090637207031,24.9081153869629,29,35.9749717712402
"01","107","AL","Pickens",51.9718399047852,42.816764831543,50.0556373596191,46.9488410949707,56.1300201416016,36.3815841674805,44.2661323547363,54.5013389587402,29.0084667205811,26.1676349639893,36.8980598449707,40.4070587158203,34.232250213623,48.6833763122559,43.6727104187012,45.6379890441895,41.0112037658691,41.9505577087402,26.6966896057129,43.9804534912109,45.4656677246094,30.1131534576416,49.6902656555176,50.4604682922363,38.9411506652832,27.3431606292725,50.9541625976562,40.3488121032715,43.5069999694824,64.7245864868164,48.6352424621582,28.3827590942383,34.2601280212402,53.4160346984863,49.7849540710449,38.8510093688965,19.9885635375977,43.019718170166,36.9273452758789,27.7318000793457,32.1172523498535,44.6020774841309,29.8437385559082,37.1809196472168,36.8450546264648
"01","033","AL","Colbert",57.9218978881836,51.2770881652832,56.0511131286621,53.167896270752,60.2863616943359,38.172664642334,50.8143310546875,63.766960144043,31.3172073364258,34,43.2454605102539,44.0826759338379,39.841438293457,54.9045486450195,54.1650886535645,55.9642601013184,47.1612205505371,46.6843719482422,30.9508991241455,46.8848533630371,49.8673210144043,33.1657447814941,63.1764907836914,58.9799041748047,42.7125282287598,34.1151542663574,56.5636978149414,53.1717185974121,44.0693283081055,71.3858871459961,53.0847816467285,34.1713943481445,51.5529594421387,64.2511138916016,66.437370300293,55.5194892883301,27.2576160430908,47.2532501220703,38.4553871154785,35.5942115783691,50.7594871520996,53.9890747070312,36.1334419250488,41.298210144043,44.1693153381348
"04","012","AZ","La Paz",22.9605102539062,28.6356582641602,28.1098346710205,28.0084171295166,30.2058086395264,22.2496738433838,28.9133377075195,28.7443790435791,25.6109199523926,29.712495803833,29.1393032073975,26.6768550872803,25.4936580657959,22.5389099121094,27.7115097045898,26.0131645202637,25.792839050293,25.2764320373535,22.5893154144287,19.4693737030029,29.9282207489014,30.9075031280518,22.4498767852783,28.0933418273926,22.7072811126709,28.1765270233154,30.3159618377686,30.9030818939209,21.8107509613037,28.0985260009766,25.9228610992432,26.377025604248,28.9709033966064,22.2546501159668,26.6946411132812,26.6320648193359,29.7440185546875,24.1216526031494,28.4224395751953,25.5217380523682,22.221118927002,25.7869186401367,31.1990966796875,25.3914546966553,29.3000659942627
"04","001","AZ","Apache",90.2257385253906,89.6984634399414,98.9085159301758,95.4780578613281,87.1213760375977,67.7999496459961,94.43798828125,88.7205505371094,78.1526184082031,86.6551895141602,93.3140106201172,90.3485107421875,89.5054931640625,82.7115936279297,74.5899200439453,73.3774566650391,83.8037338256836,96.5972290039062,76.0862884521484,72.4725570678711,89.4856491088867,88.2426528930664,80.1615753173828,82.2439651489258,81.3951568603516,85.1136093139648,78.2424163818359,90.8984909057617,75.4618759155273,97.0490798950195,82.6323471069336,88.0728988647461,86.3050155639648,75.6836624145508,70.4141845703125,69.5080261230469,71.0870590209961,77.848274230957,86.3001480102539,82.2612915039062,88.5447463989258,89.0461196899414,98.1778945922852,85.7979049682617,NA
"05","081","AR","Little River",51.5432052612305,45.1255073547363,48.1636009216309,45.3338508605957,54.072883605957,34,42.1513404846191,55.1249847412109,30.0525436401367,29.4544239044189,39.637866973877,37.0119247436523,38.9335670471191,39.3216972351074,41.7138748168945,43.9834518432617,42.6766548156738,33.3215103149414,28.7705955505371,29.7198047637939,43.1594619750977,32.900520324707,45.4476509094238,54.1095924377441,41.7309303283691,29.664608001709,53.9231109619141,39.3213920593262,41.6407470703125,59.4637031555176,49.9833755493164,31.5672550201416,34.2739868164062,51.3049964904785,54.7279472351074,40.1070098876953,32.516429901123,47.3473167419434,36.9967384338379,34.6642227172852,46.6662063598633,45.0053825378418,29.5780506134033,39.1367530822754,36.3155746459961
"05","121","AR","Randolph",58.8604545593262,70.5229415893555,62.7582893371582,67.1200942993164,68.6644897460938,50.992977142334,62.1275482177734,73.2774353027344,69.2826309204102,41.0327110290527,64.2076568603516,54.6402931213379,67.6028289794922,65.5186462402344,63.4264869689941,56.9662818908691,55.6764755249023,55.5441093444824,42.5686187744141,54.7072830200195,67.1261215209961,63.6863021850586,76.5168075561523,64.3174209594727,50,44.5087394714355,64.9504928588867,70.8807754516602,67.1105117797852,71.8411331176758,61.046932220459,51.160831451416,71.4721450805664,79.0856552124023,75.0817260742188,61.4768867492676,42.0015258789062,59.4170417785645,68.9386215209961,57.1829414367676,70.6716079711914,64.8316268920898,47.4580459594727,52.1379089355469,62.1178588867188
"06","037","CA","Los Angeles",27.0006103515625,37.8726654052734,32.2906951904297,29.9373435974121,37.7717247009277,24.9435062408447,36.7508735656738,35.4283714294434,39.5989074707031,36.9450492858887,30.4652004241943,33.0572509765625,35.3551712036133,28.2792339324951,33.2395210266113,27.2968769073486,32.4274101257324,31.681884765625,30.0965461730957,27.4509105682373,38.1255035400391,33.3290748596191,22.5513000488281,32.0606651306152,30.9045867919922,30.0563583374023,32.7381553649902,36.3846092224121,23.8635749816895,31.9161567687988,29.9579544067383,27.116247177124,33.8866348266602,21.2744979858398,24.6303215026855,29.4179401397705,33.4171104431152,23.1281337738037,31.1976070404053,27.0547752380371,25.1054992675781,27.6222095489502,36.4458923339844,30.8488883972168,29.1412811279297
